Name,Description,Lat/Lng,Tags,Region,Listing no
Reculver Towers (And Roman Fort),"The ruined towers of St Mary’s Church at Reculver sit high overlooking the sea just up from Herne Bay. The church was once at the head of the three-mile wide Wantsum Channel which cut off the Isle of Thanet, the area of land which is now Ramsgate, Margate and Broadstairs, from mainland England. The original building was built in 669AD almost entirely from pillaged stone from a nearby Roman fort. The dramatic two towers that you can see today were a later edition, in the 12th century. At sunset the site is at its most striking and on a clear day photographers flock to the site and tussle for the best vantage points for their shots. It is accessible by bike, just off the Oyster Bay Trail (regional route 15) a 7-mile linear route from Swalecliffe (Chesterfield & Swalecliffe station) to Reculver. The Thanet coastal path (Ramsgate to Herne Bay via Margate) also runs past the site. 5 miles E of Herne Bay. Take turning N of A299 up Brook La signposted Marshside, follow this until you see a sign to Reculver ¾ mile on the right. Follow lane past pub then park in Reculver Country Park car park.","51.3770, 1.1940","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""UNKNOWN:1"", ""Dangerous"", ""Religious site"", ""English Heritage""]",Kent & Essex,7
Sound Mirror (Abbot’s Cliff),"Not far from the White Cliffs of Dover, the Abbot’s Cliff sound mirror is a fantastic example of eccentric technology. Before the advent of radar, large ‘sound mirrors’ were constructed on the shores of norht-east and southern Britain to warn of approaching enemy planes. There are also sound mirrors at Denge, on Romney Marsh near Dungeness, 20 miles to the west. The Romney Marsh Countryside Partnership (01797 367934) holds annual tours but they are off-limits for the rest of the year. From A20 Dover-Folkestone take B2011 sign-posted Capel-leFerne. Park in first lay-by 51.1035,1.2369 and walk alongside road until you reach the cycle path. Take the route marked Dover for about ½ mile.","51.1017, 1.2347","[""Lovely walk"", ""Cycle path"", ""Foraging"", ""UNKNOWN:K""]",Kent & Essex,8
Otford Palace (Otford),"Otford Palace is an interesting stop on the Pilgrim’s Way/North Downs Way. The large weeping willow and grassy grounds on the approach to the palace make it a pleasant place for a picnic. Although you can’t enter it you are able to peer into the building to get a sense of its past grandeur. It was built in 1514 by Archbishop Warham and was once a rival to Hampton Court. It played host to Edward I, Henry VII and Henry VIII. In fact Henry VIII liked it so much he took it for himself in 1538. Otford is tucked away, close to habitation but still out of the way enough to make it a pleasant place for a picnic. Otford is on the A225, 3 miles N of Sevenoaks. Park off A225 near post office. Follow footpath behind post office.","51.3113, 0.1910","[""Good for picnics"", ""Lovely walk"", ""UNKNOWN:I"", ""Religious site""]",Kent & Essex,9
Cliffe Fort (Rochester),"Cliffe Fort is a large Victorian fort built in the 1860s which has sadly now fallen into a state of disrepair. It was built on the Hoo peninsula to defend the Thames estuary. The fort had an early example of a land-to-sea torpedo and its steel chains and launch bay are still visible. Locals in the area talk of strange wildlife around the fort. Wild lynx have been spotted and from the mid1970s a number of escaped flamingos would visit the site on an annual migration. Neither have been seen in recent years but Cliffe Pools is a great place for bird watching. The fort is fenced off but much of it can be seen from the footpath. Park in car park at nearby Cliffe at 51.4614, 0.4970. Head up Butway La, take R then as the road runs out follow the Saxon Shore Way to coast and fort. 2 miles easy walk.","51.4636, 0.4557","[""UNKNOWN:I"", ""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Foraging""]",Kent & Essex,10
Maunsell Forts (Thames Estuary),"Visiting one of the Maunsell Forts is a real adventure. You’ll take a boat ride over the waters of the Thames Estuary past wild seals and seabirds before climbing into these decaying capsules of history. During the beginning of the Second World War Britain was losing its battle to keep the Thames Estuary open for vital supplies. The Germans had invented the limpet mine, a magnetic mine that would stick to the steel hull of any passing ship. Guy Maunsell came up with the answer, lining the Thames with a number of stationary forts to act as a first line of defence. After decommission in the 1950s some of the forts became pirate radio stations including Screaming Lord Sutch’s pirate radio station Sutch Radio on one of the Shivering Sands towers. The Rough Tower fort was bought by Paddy Roy Bates and became the disputed Principality of Sealand. Trips to the Redsand army fort go from Queenborough, Isle of Sheppey, Kent and take an hour and 15 minutes with around 1 hour 30 minutes at the fort. Refreshments and toilet facilities provided (project-redsand.com).","51.4551, 1.1000","[""Modern ruin"", ""Dramatic"", ""Foraging"", ""UNKNOWN:K""]",Kent & Essex,11
St Peter’s Church (Alresford),"North of the Colne Estuary and Brightlingsea, near Alresford in Essex, the ruins of St Peter’s date back to 1300. The church was destroyed by fire in 1971 and it remains roofless to this day. It is a grade II listed building and said to be haunted. Head south from Alresford for about a mile, church is on the RH side. Limited parking.","51.8464, 0.9960","[""Lovely walk"", ""Dramatic"", ""Cycle path"", ""Religious site""]",Kent & Essex,12
Richborough (Roman Fort),"The views from this large Roman fort and amphitheatre are simply spectacular. Despite its age the walls of the fort are remarkably high and you get a real sense of what life must have been like manning this ancient fort. It was one of the earliest forts built by the Romans and remained in use from 43AD to 410AD. For a real adventure catch a boat from nearby Sandwich. Head for Sandwich, at the A256/A257 roundabout continue as for central Sandwich, then take the 1st L, Richborough Rd. Another mile will get you there.","51.2924, 1.3320","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""English Heritage""]",Kent & Essex,13
Highgate Cemetery (London N6),"Highgate is perhaps the grandest of the Magnificent Seven cemeteries. It is perhaps slightly more manicured and less wild in parts than many of the others. However, this should not put you off a visit to the site. Among the notable people buried here are the writer Douglas Adams, Karl Marx and the TV presenter Jeremy Beadle. Worth a special mention within the cemetery are the Circle of Lebanon and the Egyptian Avenue, and strange winding paths leading to tombs and vaults. They are in the West Cemetery, which can only be seen by paying to go on a guided tour, as the elaborate tombs and gravestones are monitored due to their delicate nature. Archway tube station: Highgate Hill exit. Walk up Highgate Hill to Waterlow Park, then follow signs. 20 mins easy walk.","51.5669, -0.1470","[""Good for picnics"", ""Lovely walk"", ""Amazing wildlife"", ""Foraging"", ""Religious site""]",London & Surrounds,1
Abney Park (London N16),"The suburb of Stoke Newington with its hipster coffee shops, yummy mummies and Turkish delis seems an odd place for a ruin. Yet in this trendy corner of London lies the large, neglected ruin of a funerary chapel designed by the influential Victorian architect William Hosking. The chapel sits in the centre of Abney Park, a Victorian graveyard turned nature reserve. Hosking, the first professor of architecture at Kings College London, designed this huge Gothic monument to be non-denominational. This was revolutionary in 1840 and it may have been the first non-denominational chapel in Europe, if not the world. Abney is one of the Magnificent Seven garden cemeteries of London. It is fantastically overgrown, like something out of a horror film: moss and lichen cover the graves and ivy-clad Victorian monuments lie in various states of disrepair. This urban oasis is an important conservation area and has become home to owls, sparrow hawks, woodpeckers and bats along with rare bees, bugs and butterflies. The site remains managed and open thanks to a team of volunteers (abneypark.org). Main entrance is just off Stoke Newington High St, 5 mins S of Stoke Newington railway station, on opposite side of the road.","51.5649, -0.0781","[""Good for picnics"", ""Lovely walk"", ""Amazing wildlife"", ""Religious site""]",London & Surrounds,2
West Norwood Cemetery (London Se27),"West Norwood Cemetery has a collection of Gothic mausoleums and monuments. This is mixed with the more modern lawn cemetery on half of the site. It was said to be the first cemetery to be designed in the Gothic revival style, and as with much of this area, it has fantastic views over the city. The cemetery also contains a sizeable Greek Orthodox population set in its 40 acres. It is however the catacombs under the cemetery that are its main attraction. They are opened to the public sporadically and tours are only available to members (membership £5 per year, Friends of West Norwood Cemetery, fownc.org). From West Norwood railway station head into Cotsowld St, L onto Norwood High St. Graveyard is 100 yards away, on the R. 2-3 mins easy walk.","51.4318, -0.0967","[""Good for picnics"", ""Lovely walk"", ""Amazing wildlife"", ""Religious site""]",London & Surrounds,3
